## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[../bams/F2015_female_fall_DrosEU_match_sorted.bam] OUTPUT=../bams/F2015_female_fall_DrosEU_match_sorted_marked.bam METRICS_FILE=F2015_female_fall_DrosEU_match_metrics.txt ASSUME_SORTED=true VALIDATION_STRINGENCY=SILENT    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false ADD_PG_TAG_TO_READS=true REMOVE_DUPLICATES=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Dec 15 12:21:50 GMT 2021

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	11840	7716920	102258	2643186	3251	1189505	157785	0.154235	25110250

## HISTOGRAM	java.lang.Double
BIN	VALUE	all_sets	optical_sets	non_optical_sets
1.0	1.017833	5593181	0	5700504
2.0	1.766362	769310	144743	698570
3.0	2.31684	131435	5947	104789
4.0	2.72167	24547	322	17110
5.0	3.019387	4917	28	3019
6.0	3.238333	1148	6	723
7.0	3.399349	430	0	307
8.0	3.517762	238	0	211
9.0	3.604845	188	2	179
10.0	3.668887	137	0	133
11.0	3.715984	143	0	140
12.0	3.75062	120	0	121
13.0	3.776092	117	0	121
14.0	3.794824	102	0	103
15.0	3.8086	97	0	101
16.0	3.818731	80	0	76
17.0	3.826182	77	0	77
18.0	3.831661	76	0	68
19.0	3.83569	66	0	69
20.0	3.838654	52	0	52
21.0	3.840833	62	0	60
22.0	3.842436	49	0	52
23.0	3.843614	52	0	54
24.0	3.844481	54	0	51
25.0	3.845119	39	1	38
26.0	3.845587	35	0	30
27.0	3.845932	29	0	33
28.0	3.846186	32	0	33
29.0	3.846372	35	0	35
30.0	3.846509	27	0	20
31.0	3.84661	35	0	39
32.0	3.846684	26	0	25
33.0	3.846739	29	0	30
34.0	3.846779	18	0	21
35.0	3.846808	28	0	23
36.0	3.84683	23	0	22
37.0	3.846846	16	0	17
38.0	3.846858	24	0	25
39.0	3.846866	19	0	17
40.0	3.846873	15	0	15
41.0	3.846877	19	0	15
42.0	3.846881	11	0	12
43.0	3.846883	10	0	15
44.0	3.846885	13	0	11
45.0	3.846887	6	0	6
46.0	3.846888	12	0	11
47.0	3.846888	7	0	6
48.0	3.846889	8	0	11
49.0	3.846889	11	0	9
50.0	3.84689	8	0	8
51.0	3.84689	10	0	11
52.0	3.84689	7	0	5
53.0	3.84689	6	0	7
54.0	3.84689	7	0	10
55.0	3.84689	9	0	9
56.0	3.84689	9	0	8
57.0	3.84689	6	0	2
58.0	3.84689	2	0	2
59.0	3.84689	2	0	4
60.0	3.84689	8	0	10
61.0	3.84689	7	0	3
62.0	3.84689	6	0	8
63.0	3.84689	5	0	6
64.0	3.84689	3	0	3
65.0	3.84689	4	0	1
66.0	3.84689	8	0	9
67.0	3.84689	3	0	3
68.0	3.84689	1	0	0
69.0	3.84689	2	0	2
70.0	3.84689	1	0	3
71.0	3.84689	3	0	2
72.0	3.84689	2	0	5
73.0	3.84689	6	0	3
74.0	3.84689	3	0	3
75.0	3.84689	5	0	6
76.0	3.84689	4	0	2
77.0	3.84689	3	0	3
78.0	3.84689	2	0	2
79.0	3.84689	2	0	1
80.0	3.84689	2	0	2
81.0	3.84689	0	0	4
82.0	3.84689	5	0	0
83.0	3.84689	0	0	3
84.0	3.84689	2	0	3
85.0	3.84689	3	0	2
86.0	3.84689	2	0	1
87.0	3.84689	3	0	2
88.0	3.84689	1	0	0
89.0	3.84689	0	0	1
90.0	3.84689	2	0	1
91.0	3.84689	2	0	2
92.0	3.84689	1	0	1
93.0	3.84689	0	0	0
94.0	3.84689	0	0	0
95.0	3.84689	1	0	2
96.0	3.84689	0	0	0
97.0	3.84689	0	0	0
98.0	3.84689	1	0	1
99.0	3.84689	1	0	0
100.0	3.84689	0	0	0
101.0	0	0	0	3
102.0	0	2	0	2
103.0	0	2	0	0
104.0	0	1	0	1
105.0	0	1	0	1
106.0	0	0	0	1
108.0	0	2	0	0
110.0	0	0	0	1
111.0	0	1	0	2
113.0	0	3	0	2
115.0	0	1	0	0
118.0	0	1	0	1
120.0	0	1	0	1
123.0	0	0	0	1
126.0	0	1	0	0
128.0	0	1	0	1
129.0	0	2	0	2
130.0	0	0	0	2
132.0	0	3	0	1
133.0	0	1	0	1
134.0	0	0	0	1
135.0	0	1	0	0
140.0	0	0	0	1
141.0	0	0	0	1
143.0	0	2	0	0
145.0	0	0	0	1
147.0	0	1	0	1
149.0	0	1	0	1
151.0	0	1	0	1
153.0	0	1	0	1
154.0	0	1	0	0
155.0	0	0	0	1
156.0	0	1	0	0
158.0	0	0	0	1
159.0	0	1	0	0
160.0	0	0	0	1
162.0	0	1	0	0
184.0	0	1	0	1
