## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[../bams/MR20female2_sorted.bam] OUTPUT=../bams/MR20female2_sorted_marked.bam METRICS_FILE=MR20female2_metrics.txt ASSUME_SORTED=true VALIDATION_STRINGENCY=SILENT    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false ADD_PG_TAG_TO_READS=true REMOVE_DUPLICATES=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Dec 15 12:21:06 GMT 2021

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	29173	19132879	381806	864121	9612	2703668	399152	0.141453	69762757

## HISTOGRAM	java.lang.Double
BIN	VALUE	all_sets	optical_sets	non_optical_sets
1.0	1.018521	14304223	0	14586720
2.0	1.792736	1779427	366627	1584123
3.0	2.381246	281215	14679	215386
4.0	2.828594	48265	861	31851
5.0	3.16864	9171	84	5445
6.0	3.427122	2130	25	1217
7.0	3.623604	678	6	480
8.0	3.772957	371	6	305
9.0	3.886485	234	2	217
10.0	3.972783	186	1	179
11.0	4.03838	154	2	153
12.0	4.088244	153	0	147
13.0	4.126147	114	0	110
14.0	4.154958	107	0	112
15.0	4.176859	99	0	93
16.0	4.193507	96	0	100
17.0	4.206161	99	0	95
18.0	4.21578	72	0	74
19.0	4.223092	73	0	71
20.0	4.22865	68	0	70
21.0	4.232875	71	0	67
22.0	4.236086	66	0	65
23.0	4.238527	57	0	63
24.0	4.240383	62	0	56
25.0	4.241793	63	0	67
26.0	4.242866	62	0	64
27.0	4.243681	55	0	51
28.0	4.2443	42	0	45
29.0	4.244771	58	0	58
30.0	4.245129	39	0	39
31.0	4.245401	46	0	40
32.0	4.245608	51	0	51
33.0	4.245765	43	0	46
34.0	4.245885	36	0	34
35.0	4.245975	31	0	39
36.0	4.246045	40	0	33
37.0	4.246097	26	0	33
38.0	4.246137	50	0	50
39.0	4.246167	41	0	42
40.0	4.24619	45	0	37
41.0	4.246208	40	0	47
42.0	4.246221	36	0	30
43.0	4.246231	35	0	36
44.0	4.246239	34	0	32
45.0	4.246245	23	0	22
46.0	4.246249	24	0	24
47.0	4.246253	24	0	25
48.0	4.246255	30	0	36
49.0	4.246257	30	0	24
50.0	4.246259	23	0	26
51.0	4.24626	24	0	29
52.0	4.246261	20	0	20
53.0	4.246261	27	0	18
54.0	4.246262	28	0	27
55.0	4.246262	21	0	23
56.0	4.246262	18	0	20
57.0	4.246263	22	0	25
58.0	4.246263	24	0	18
59.0	4.246263	18	0	17
60.0	4.246263	17	0	18
61.0	4.246263	21	0	19
62.0	4.246263	16	0	18
63.0	4.246263	19	0	21
64.0	4.246263	20	0	24
